timestamp,type,frame_prev,frame_curr,Total entries,Entered,Exit
2026-04-07 02:36:39,EXIT,frame_000050.jpg,frame_000052.jpg,0,0,1
2026-04-07 02:37:01,ENTRY,frame_000014.jpg,frame_000016.jpg,1,1,0
2026-04-07 02:37:58,EXIT,frame_000084.jpg,frame_000086.jpg,0,0,1
2026-04-07 02:38:40,ENTRY,frame_000048.jpg,frame_000050.jpg,1,1,0
2026-04-07 02:38:43,ENTRY,frame_000080.jpg,frame_000082.jpg,2,2,0
2026-04-07 02:39:03,EXIT,frame_000030.jpg,frame_000032.jpg,0,0,1
2026-04-07 02:39:05,EXIT,frame_000048.jpg,frame_000050.jpg,0,0,2
2026-04-07 02:39:27,ENTRY,frame_000020.jpg,frame_000022.jpg,1,1,0
2026-04-07 02:40:15,EXIT,frame_000026.jpg,frame_000028.jpg,0,0,1
2026-04-07 02:40:40,ENTRY,frame_000032.jpg,frame_000034.jpg,1,1,0
2026-04-07 02:41:02,ENTRY,frame_000026.jpg,frame_000028.jpg,1,1,0
2026-04-07 02:41:22,EXIT,frame_000210.jpg,frame_000212.jpg,0,1,1
2026-04-07 02:41:33,EXIT,frame_000078.jpg,frame_000080.jpg,0,0,1
2026-04-07 02:42:17,ENTRY,frame_000016.jpg,frame_000018.jpg,1,1,0
2026-04-07 02:42:39,EXIT,frame_000014.jpg,frame_000016.jpg,0,0,1
2026-04-07 02:42:50,ENTRY,frame_000116.jpg,frame_000118.jpg,1,1,1
2026-04-07 02:43:24,ENTRY,frame_000004.jpg,frame_000006.jpg,1,1,0
2026-04-07 02:43:48,ENTRY,frame_000022.jpg,frame_000024.jpg,1,1,0
2026-04-07 02:44:10,ENTRY,frame_000224.jpg,frame_000226.jpg,2,2,0
2026-04-07 02:44:37,EXIT,frame_000026.jpg,frame_000028.jpg,0,0,1
2026-04-07 02:45:01,ENTRY,frame_000034.jpg,frame_000036.jpg,1,1,0
2026-04-07 02:45:21,ENTRY,frame_000010.jpg,frame_000012.jpg,1,1,0
2026-04-07 02:45:41,ENTRY,frame_000010.jpg,frame_000012.jpg,1,1,0
2026-04-07 02:46:02,ENTRY,frame_000016.jpg,frame_000018.jpg,1,1,0
2026-04-07 02:46:25,ENTRY,frame_000016.jpg,frame_000018.jpg,1,1,0
2026-04-07 02:46:56,EXIT,frame_000084.jpg,frame_000086.jpg,0,0,1
2026-04-07 02:47:10,ENTRY,frame_000018.jpg,frame_000020.jpg,1,1,0
2026-04-07 02:47:29,EXIT,frame_000006.jpg,frame_000008.jpg,0,0,1
2026-04-07 02:47:37,EXIT,frame_000084.jpg,frame_000086.jpg,0,0,2
2026-04-07 02:47:57,EXIT,frame_000032.jpg,frame_000034.jpg,0,0,1
2026-04-07 02:48:20,ENTRY,frame_000034.jpg,frame_000036.jpg,1,1,0
2026-04-07 02:48:22,ENTRY,frame_000048.jpg,frame_000050.jpg,2,2,0
2026-04-07 02:48:40,ENTRY,frame_000024.jpg,frame_000026.jpg,1,1,0
2026-04-07 02:49:09,ENTRY,frame_000034.jpg,frame_000036.jpg,1,1,0
2026-04-07 02:49:42,EXIT,frame_000074.jpg,frame_000076.jpg,0,0,1
2026-04-07 02:50:11,EXIT,frame_000098.jpg,frame_000100.jpg,0,0,1
